1.1483167084216294e-120,5.351608221587845e-229,4.54078217151766e-07
3.0565343916559786e-123,9.746854089507322e-275,1.0670062615723441e-14
0.0,7.630638222082268e-126,1.4971222462211637e-26
0.0,1.254300385429321e-42,1.78671965334237e-128
3.923882007704501e-131,0.0,6.274799366076659e-63
0.0,8.082383225541682e-134,1.874356206321801e-87
0.0,3.3431696029360864e-116,1.5614457926584033e-136
3.5605630988505945e-149,0.0,2.8292958272981357e-139
2.2642947520287326e-186,4.8083246233480225e-142,0.0
0.0,7.664312001423246e-145,8.598075012117247e-228
1.1458203874900573e-147,0.0,1.9517822407622137e-273
1.8248586805977798e-230,0.0,1.6066596577267058e-150
2.1129791256088615e-153,0.0,8.717057426601e-189
0.0,2.6063365738909724e-156,2.4863632191289627e-151
0.0,3.0152946992043597e-159,4.234608203263818e-118
0.0,3.2718471312185905e-162,4.306415129981112e-89
0.0,2.6150051414111558e-64,3.3298158649466153e-165
0.0,3.178420888834282e-168,9.481634232987929e-44
0.0,2.052805699435867e-27,2.8455522757383023e-171
0.0,2.3893826439027004e-174,2.653789601969358e-15
0.0,2.0485149024954315e-07,1.8817798554285016e-177
0.0,1.3900035182601113e-180,0.000944203842677597
0.00025986416551571453,0.0,9.630014876433269e-184
0.0,4.270522596498584e-09,6.257516315305646e-187
0.0,4.190536704149657e-18,3.8136514436776827e-190
0.0,2.1799371775211386e-193,2.4553435671763305e-31
0.0,8.590311002322501e-49,1.1687212294418856e-196
0.0,1.794566270788913e-70,5.876812866965928e-200
2.771639645744804e-203,2.2385361425575863e-96,0.0
0.0,1.6673344245342114e-126,1.2260145999447162e-206
0.0,5.086493492125785e-210,7.4154125795603e-161
0.0,1.9692548244274022e-199,1.9792712596154242e-213
3.1226442750022246e-242,0.0,7.223640392929109e-217
0.0,2.4726969391784023e-220,2.9566308525315054e-289
0.0,7.938704539074403e-224
2.390519883626834e-227,0.0
0.0,6.751481097376479e-231
0.0,1.788420856055053e-234
0.0,4.443287037698789e-238
0.0,1.0353876671422607e-241
0.0,2.262901131917452e-245
0.0,4.638655776699252e-249
0.0,8.918312498053925e-253
0.0,1.6081894185720366e-256
0.0,2.7199172326900667e-260
0.0,4.3145762751932506e-264
0.0,6.419254402115855e-268
0.0,8.957668745641864e-272
0.0,1.1723826504883975e-275
0.0,1.439155566017376e-279
0.0,1.6569525607037347e-283
0.0,1.7892720647322008e-287
0.0,1.812202238529344e-291
1.7214757831542918e-295,0.0
0.0,1.5337661433888278e-299
1.2816851430930076e-303,0.0
0.0,1.0045406772734062e-307
0.0,7.38444191863e-312
5.09133655e-316,0.0
3.2925e-320,0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0,1.8747008140638725e-287
0.0,1.385134712827159e-240
0.0,6.1109123530827225e-198
0.0,1.6098080421155607e-159
0.0,2.5321890521989226e-125
0.0,2.3783302364718406e-95
0.0,1.3338352296347527e-69
0.0,4.466694058456898e-48
0.0,8.931496373650928e-31
0.0,1.0663904369471163e-17
0.0,7.602601967107003e-09
0.0,0.00032364005165812676
0.0,0.0008226522052875107
0.0,1.2486026921268904e-07
0.0,1.1315826082692099e-15
0.0,6.1235357449559785e-28
0.0,1.9786648867674965e-44
0.0,3.81765107902065e-65
0.0,4.39819231049371e-90
0.0,3.025562950397582e-119
0.0,1.2427740265484912e-152
0.0,3.048120551607869e-190
0.0,4.464019740502365e-232
0.0,3.9036787453382784e-278
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0,5.388074174608969e-280
0.0,8.560692316666395e-234
0.0,8.1934834654852e-192
0.0,4.724029991537244e-154
0.0,1.6407449708837713e-120
0.0,3.432842579939679e-91
0.0,4.326643039567493e-66
0.0,3.284979131258606e-45
0.0,1.5024448340618428e-28
0.0,4.1395089479831636e-16
0.0,6.870423174795767e-08
0.0,0.0006869142418593187
0.0,0.00041371943684977115
0.0,1.5010449579543662e-08
0.0,3.2806949211150106e-17
